gp_id,go_annotations,go_term,go_definitions,Obsolete,Parents,Aspect,go_id_pmc,go_term_pmc,normalized_term,normalized_id,go_match
GO:0005768,371,endosome,A vacuole to which materials ingested by endocytosis are delivered.,FALSE,GO:0031410|GO:0012505,cellular_component,84,65278,endosome,GO:0005768,1
GO:0005575,431,cellular_component,"A location, relative to cellular compartments and structures, occupied by a macromolecular machine. There are three types of cellular components described in the gene ontology: (1) the cellular anatomical entity where a gene product carries out a molecular function (e.g., plasma membrane, cytoskeleton) or membrane-enclosed compartments (e.g., mitochondrion); (2) virion components, where viral proteins act, and (3) the stable macromolecular complexes of which gene product are parts (e.g., the clathrin complex).|Note that, in addition to forming the root of the cellular component ontology, this term is recommended for the annotation of gene products whose cellular component is unknown. When this term is used for annotation, it indicates that no information was available about the cellular component of the gene product annotated as of the date the annotation was made; the evidence code 'no data' (ND), is used to indicate this.",FALSE,http://www.w3.org/2002/07/owl#Thing,cellular_component,202,63160,cellular_component,GO:0005575,1
GO:0005794,1889,Golgi apparatus,"A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways.|Note that the Golgi apparatus can be located in various places in the cytoplasm. In plants and lower animal cells, the Golgi apparatus exists as many copies of discrete stacks dispersed throughout the cytoplasm, while the Golgi apparatus of interphase mammalian cells is a juxtanuclear, often pericentriolar reticulum, where the discrete Golgi stacks are stitched together to form a compact and interconnected ribbon, sometimes called the Golgi ribbon.",FALSE,GO:0043231|GO:0012505|GO:0005737,cellular_component,185,62651,Golgi apparatus,GO:0005794,1
GO:0000792,55,heterochromatin,A compact and highly condensed form of chromatin that is refractory to transcription.,FALSE,GO:0000785,cellular_component,24,61643,heterochromatin,GO:0000792,1
GO:0043235,267,receptor complex,"Any protein complex that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function.",FALSE,GO:0032991,cellular_component,84,57871,receptor complex,GO:0043235,1
GO:0005739,4100,mitochondrion,"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.|Some anaerobic or microaerophilic organisms (e.g. Entamoeba histolytica, Giardia intestinalis and several Microsporidia species) do not have mitochondria, and contain mitochondrion-related organelles (MROs) instead, called mitosomes or hydrogenosomes, very likely derived from mitochondria. To annotate gene products located in these mitochondrial relics in species such as Entamoeba histolytica, Giardia intestinalis or others, please use GO:0032047 'mitosome' or GO:0042566 'hydrogenosome'. (See PMID:24316280 for a list of species currently known to contain mitochondrion-related organelles.)",FALSE,GO:0043231|GO:0005737,cellular_component,624,57565,mitochondrion,GO:0005739,1
GO:0030425,485,dendrite,"A neuron projection that has a short, tapering, morphology. Dendrites receive and integrate signals from other neurons or from sensory stimuli, and conduct nerve impulses towards the axon or the cell body. In most neurons, the impulse is conveyed from dendrites to axon via the cell body, but in some types of unipolar neuron, the impulse does not travel via the cell body.",FALSE,GO:0097447|GO:0043005,cellular_component,81,52426,dendrite,GO:0030425,1
GO:0005776,120,autophagosome,A double-membrane-bounded compartment that engulfs endogenous cellular material as well as invading microorganisms to target them to the lytic vacuole/lysosome for degradation as part of macroautophagy.,FALSE,GO:0005773,cellular_component,33,48902,autophagosome,GO:0005776,1
GO:0005635,805,nuclear envelope,"The double lipid bilayer enclosing the nucleus and separating its contents from the rest of the cytoplasm; includes the intermembrane space, a gap of width 20-40 nm (also called the perinuclear space).",FALSE,GO:0031967|GO:0012505|GO:0005634,cellular_component,70,41455,nuclear envelope,GO:0005635,1
GO:0005730,5461,nucleolus,"A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome.",FALSE,GO:0043232|GO:0031981,cellular_component,208,40758,nucleolus,GO:0005730,1
GO:0031965,457,nuclear membrane,Either of the lipid bilayers that surround the nucleus and form the nuclear envelope; excludes the intermembrane space.,FALSE,GO:0016020|GO:0031090|GO:0005635,cellular_component,35,38395,nuclear membrane,GO:0031965,1
GO:0016529,53,sarcoplasmic reticulum,"A fine reticular network of membrane-limited elements that pervades the sarcoplasm of a muscle cell; continuous over large portions of the cell and with the nuclear envelope; that part of the endoplasmic reticulum specialized for calcium release, uptake and storage.|See also the cellular component terms 'sarcoplasm ; GO:0016528', 'nuclear envelope ; GO:0005635' and 'endoplasmic reticulum ; GO:0005783'.",FALSE,GO:0016528|GO:0005783,cellular_component,23,37769,sarcoplasmic reticulum,GO:0016529,1
GO:0005883,13,neurofilament,"A type of intermediate filament found in the core of neuronal axons. Neurofilaments are heteropolymers composed of three type IV polypeptides: NF-L, NF-M, and NF-H (for low, middle, and high molecular weight). Neurofilaments are responsible for the radial growth of an axon and determine axonal diameter.",FALSE,GO:0005882|GO:0005737,cellular_component,7,37260,neurofilament,GO:0043209,0
GO:0005921,24,gap junction,"A cell-cell junction composed of pannexins or innexins and connexins, two different families of channel-forming proteins.",FALSE,GO:0005911,cellular_component,21,35828,gap junction,GO:0005921,1
GO:0008021,150,synaptic vesicle,"A secretory organelle, typically 50 nm in diameter, of presynaptic nerve terminals; accumulates in high concentrations of neurotransmitters and secretes these into the synaptic cleft by fusion with the 'active zone' of the presynaptic plasma membrane.|This term should not be confused with GO:0097547 'synaptic vesicle protein transport vesicle'. STVs and synaptic vesicles differ both functionally and morphologically. Functionally, STVs are transport vesicles that deliver synaptic vesicle proteins to synapses, while synaptic vesicles are responsible for transmitter release at synapses. Morphologically, synaptic vesicles are very homogeneous, while STVs are very heterogeneous in size and shape. STVs might be a precursor for synaptic vesicles.",FALSE,GO:0098793|GO:0070382,cellular_component,45,35824,synaptic vesicle,GO:0008021,1
GO:0031594,87,neuromuscular junction,"The junction between the axon of a motor neuron and a muscle fiber. In response to the arrival of action potentials, the presynaptic button releases molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane of the muscle fiber, leading to a change in post-synaptic potential.|In vertebrates, the term 'neuromuscular junction' is limited to synapses targeting skeletal muscle fibers - all of which are cholinergic and excitatory. Both inhibitory and excitatory neuromuscular junctions exist in invertebrates, utilizing a range of neurotransmitters including glutamate, GABA and 5-HT.",FALSE,GO:0045202,cellular_component,19,35521,neuromuscular junction,GO:0031594,1
GO:0005884,111,actin filament,"A filamentous structure formed of a two-stranded helical polymer of the protein actin and associated proteins. Actin filaments are a major component of the contractile apparatus of skeletal muscle and the microfilaments of the cytoskeleton of eukaryotic cells. The filaments, comprising polymerized globular actin molecules, appear as flexible structures with a diameter of 5-9 nm. They are organized into a variety of linear bundles, two-dimensional networks, and three dimensional gels. In the cytoskeleton they are most highly concentrated in the cortex of the cell just beneath the plasma membrane.",FALSE,GO:0099513|GO:0015629,cellular_component,40,35054,actin filament,GO:0005884,1
GO:0072686,220,mitotic spindle,A spindle that forms as part of mitosis. Mitotic and meiotic spindles contain distinctive complements of proteins associated with microtubules.,FALSE,GO:0005819,cellular_component,35,34732,mitotic spindle,GO:0072686,1
GO:0005813,1204,centrosome,"A structure comprised of a core structure (in most organisms, a pair of centrioles) and peripheral material from which a microtubule-based structure, such as a spindle apparatus, is organized. Centrosomes occur close to the nucleus during interphase in many eukaryotic cells, though in animal cells it changes continually during the cell-division cycle.",FALSE,GO:0005815,cellular_component,81,34528,centrosome,GO:0005813,1
GO:0043197,178,dendritic spine,"A small, membranous protrusion from a dendrite that forms a postsynaptic compartment, typically receiving input from a single presynapse. They function as partially isolated biochemical and an electrical compartments. Spine morphology is variable:they can be thin, stubby, mushroom, or branched, with a continuum of intermediate morphologies. They typically terminate in a bulb shape, linked to the dendritic shaft by a restriction. Spine remodeling is though to be involved in synaptic plasticity.",FALSE,GO:0098794|GO:0030425|GO:0044309,cellular_component,37,33938,dendritic spine,GO:0043197,1
GO:0005759,1067,mitochondrial matrix,"The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation.",FALSE,GO:0070013|GO:0005739,cellular_component,170,33487,mitochondrial matrix,GO:0005759,1
GO:0000806,2,Y chromosome,"The sex chromosome present in males of species in which the male is the heterogametic sex; generally, the sex chromosome that pairs with the X chromosome in the heterogametic sex. The Y chromosome is absent from the cells of females and present in one copy in the somatic cells of males.",FALSE,GO:0000803,cellular_component,0,32479,no appropriate match,GO:0000000,0
GO:0005811,186,lipid droplet,"An intracellular non-membrane-bounded organelle comprising a matrix of coalesced lipids surrounded by a phospholipid monolayer. May include associated proteins.|Note that this term does not refer to vesicles, but instead to structures in which lipids do not necessarily form bilayers.",FALSE,GO:0043232,cellular_component,83,30752,lipid droplet,GO:0005811,1
GO:0044391,1,ribosomal subunit,Either of the two subunits of a ribosome: the ribosomal large subunit or the ribosomal small subunit.,FALSE,GO:0005840|GO:1990904,cellular_component,99,30154,ribosomal subunit,GO:0044391,1
GO:1903561,163,extracellular vesicle,Any vesicle that is part of the extracellular region.,FALSE,GO:0031982|GO:0065010,cellular_component,79,30046,extracellular vesicle,GO:1903561,1
GO:0042641,11,actomyosin,"Any complex of actin, myosin, and accessory proteins.",FALSE,GO:0015629|GO:0110165,cellular_component,17,29817,actomyosin,GO:0042641,1
GO:0005903,61,brush border,"The dense covering of microvilli on the apical surface of an epithelial cell in tissues such as the intestine, kidney, and choroid plexus; the microvilli aid absorption by increasing the surface area of the cell.",FALSE,GO:0098862,cellular_component,24,29415,brush border,GO:0005903,1
GO:0005882,137,intermediate filament,"A cytoskeletal structure that forms a distinct elongated structure, characteristically 10 nm in diameter, that occurs in the cytoplasm of eukaryotic cells. Intermediate filaments form a fibrous system, composed of chemically heterogeneous subunits and involved in mechanically integrating the various components of the cytoplasmic space. Intermediate filaments may be divided into five chemically distinct classes: Type I, acidic keratins; Type II, basic keratins; Type III, including desmin, vimentin and others; Type IV, neurofilaments and related filaments; and Type V, lamins.",FALSE,GO:0099513|GO:0045111,cellular_component,87,28586,intermediate filament,GO:0005882,1
GO:0097413,5,Lewy body,"Cytoplasmic, spherical inclusion commonly found in damaged neurons, and composed of abnormally phosphorylated, neurofilament proteins aggregated with ubiquitin and alpha-synuclein.",FALSE,GO:0016234,cellular_component,2,28263,no appropriate match,GO:0000000,0
GO:0098687,4,chromosomal region,Any subdivision of a chromosome along its length.|Chromosomal regions include parts that are not part of the chromatin. Examples include the kinetochore.,FALSE,GO:0005694|GO:0110165,cellular_component,85,27360,chromosomal region,GO:0098687,1
GO:0005643,140,nuclear pore,"A protein complex providing a discrete opening in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined.",FALSE,GO:0140513|GO:0005635,cellular_component,53,27098,nuclear pore,GO:0005643,1
GO:0005657,40,replication fork,"The Y-shaped region of a replicating DNA molecule, resulting from the separation of the DNA strands and in which the synthesis of new strands takes place. Also includes associated protein complexes.",FALSE,GO:0110165|GO:0005694,cellular_component,33,27038,replication fork,GO:0005657,1
GO:0030017,50,sarcomere,"The repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs.",FALSE,GO:0110165|GO:0030016,cellular_component,91,25958,sarcomere,GO:0030017,1
GO:0005802,260,trans-Golgi network,"The network of interconnected tubular and cisternal structures located within the Golgi apparatus on the side distal to the endoplasmic reticulum, from which secretory vesicles emerge. The trans-Golgi network is important in the later stages of protein secretion where it is thought to play a key role in the sorting and targeting of secreted proteins to the correct destination.|There are different opinions about whether the TGN should be considered part of the Golgi apparatus or not. We follow Alberts et al, 1994 (ISBN:0815316194), who consider it to be a part.",FALSE,GO:0098791,cellular_component,14,25799,trans-Golgi network,GO:0005802,1
GO:0005741,491,mitochondrial outer membrane,"The outer, i.e. cytoplasm-facing, lipid bilayer of the mitochondrial envelope.",FALSE,GO:0031968|GO:0031966,cellular_component,53,25179,mitochondrial outer membrane,GO:0005741,1
GO:0043209,42,myelin sheath,An electrically insulating fatty layer that surrounds the axons of many neurons. It is an outgrowth of glial cells: Schwann cells supply the myelin for peripheral neurons while oligodendrocytes supply it to those of the central nervous system.,FALSE,GO:0110165,cellular_component,67,23083,myelin sheath,GO:0043209,1
GO:0005576,12456,extracellular region,"The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.|Note that this term is intended to annotate gene products that are not attached to the cell surface. For gene products from multicellular organisms which are secreted from a cell but retained within the organism (i.e. released into the interstitial fluid or blood), consider the cellular component term 'extracellular space ; GO:0005615'.",FALSE,GO:0110165,cellular_component,1200,21864,extracellular region,GO:0005576,1
GO:0071944,61,cell periphery,"The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures.",FALSE,GO:0110165,cellular_component,226,21392,cell periphery,GO:0071944,1
GO:0005654,24840,nucleoplasm,That part of the nuclear content other than the chromosomes or the nucleolus.,FALSE,GO:0110165|GO:0031981,cellular_component,338,21299,nucleoplasm,GO:0005654,1
GO:0000776,280,kinetochore,"A multisubunit complex that is located at the centromeric region of DNA and provides an attachment point for the spindle microtubules.|Note that the kinetochore overlaps the centromeric DNA, but centromeric DNA is not part of the kinetochore.",FALSE,GO:0099080|GO:0043232|GO:0000779,cellular_component,88,21006,kinetochore,GO:0000776,1
GO:0014069,301,postsynaptic density,"An electron dense network of proteins within and adjacent to the postsynaptic membrane of an asymmetric, neuron-neuron synapse. Its major components include neurotransmitter receptors and the proteins that spatially and functionally organize them such as anchoring and scaffolding molecules, signaling enzymes and cytoskeletal components.",FALSE,GO:0099572|GO:0032279,cellular_component,81,20873,postsynaptic density,GO:0014069,1
GO:0008091,9,spectrin,"Membrane associated dimeric protein (240 and 220 kDa) of erythrocytes. Forms a complex with ankyrin, actin and probably other components of the membrane cytoskeleton, so that there is a mesh of proteins underlying the plasma membrane, potentially restricting the lateral mobility of integral proteins.",FALSE,GO:0032991|GO:0030864,cellular_component,4,20598,no appropriate match,GO:0000000,0
GO:0005743,1888,mitochondrial inner membrane,"The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae.",FALSE,GO:0031966|GO:0019866,cellular_component,199,20499,mitochondrial inner membrane,GO:0005743,1
GO:0000803,2,sex chromosome,A chromosome involved in sex determination.,FALSE,GO:0005694,cellular_component,5,20186,no appropriate match,GO:0000000,0
GO:0046930,14,pore complex,A protein complex providing a discrete opening in a membrane that allows the passage of gases and/or liquids.,FALSE,GO:0098796,cellular_component,17,20177,nuclear pore complex,GO:0005643,0
GO:0005912,239,adherens junction,"A cell-cell junction composed of the epithelial cadherin-catenin complex. The epithelial cadherins, or E-cadherins, of each interacting cell extend through the plasma membrane into the extracellular space and bind to each other. The E-cadherins bind to catenins on the cytoplasmic side of the membrane, where the E-cadherin-catenin complex binds to cytoskeletal components and regulatory and signaling molecules.",FALSE,GO:0005911,cellular_component,87,19921,adherens junction,GO:0005912,1
GO:0043083,26,synaptic cleft,"The narrow gap that separates the presynaptic and postsynaptic membranes, into which neurotransmitter is released.",FALSE,GO:0005576,cellular_component,6,19866,synaptic cleft,GO:0043083,1
GO:0030426,133,growth cone,"The migrating motile tip of a growing neuron projection, where actin accumulates, and the actin cytoskeleton is the most dynamic.",FALSE,GO:0150034|GO:0030427,cellular_component,29,19520,growth cone,GO:0030426,1
GO:0005929,475,cilium,"A specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface and of some cytoplasmic parts. Each cilium is largely bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored to a basal body.|Note that we deem cilium and microtubule-based flagellum to be equivalent. In most eukaryotic species, intracellular sub-components of the cilium, such as the ciliary base and rootlet, are located near the plasma membrane. In Diplomonads such as Giardia, instead, the same ciliary parts are located further intracellularly. Also, 'cilium' may be used when axonemal structure and/or motility are unknown, or when axonemal structure is unusual. For all other cases, please refer to children of 'cilium'. Finally, note that any role of ciliary proteins in sensory events should be captured by annotating to relevant biological process terms.",FALSE,GO:0120025|GO:0043227,cellular_component,66,19190,cilium,GO:0005929,1
GO:0016234,21,inclusion body,A discrete intracellular part formed of aggregated molecules such as proteins or other biopolymers.,FALSE,GO:0005622,cellular_component,12,18872,inclusion body,GO:0016234,1
GO:0042383,124,sarcolemma,"The outer membrane of a muscle cell, consisting of the plasma membrane, a covering basement membrane (about 100 nm thick and sometimes common to more than one fiber), and the associated loose network of collagen fibers.",FALSE,GO:0005886,cellular_component,49,18699,sarcolemma,GO:0042383,1
GO:0005765,1001,lysosomal membrane,The lipid bilayer surrounding the lysosome and separating its contents from the cell cytoplasm.,FALSE,GO:0098852|GO:0005764,cellular_component,47,18065,lysosomal membrane,GO:0005765,1
GO:0070701,2,mucus layer,"An extracellular region part that consists of a protective layer of mucus secreted by epithelial cells lining tubular organs of the body such as the colon or secreted into fluids such as saliva. Mucus is a viscous slimy secretion consisting of mucins (i.e. highly glycosylated mucin proteins) and various inorganic salts dissolved in water, with suspended epithelial cells and leukocytes.",FALSE,GO:0005576|GO:0110165,cellular_component,0,17670,no appropriate match,GO:0000000,0
GO:0000791,67,euchromatin,A dispersed and relatively uncompacted form of chromatin that is in a transcription-competent conformation.,FALSE,GO:0000785,cellular_component,11,17504,euchromatin,GO:0005719,0
GO:0000151,134,ubiquitin ligase complex,A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex.,FALSE,GO:1990234|GO:0140535,cellular_component,50,16956,ubiquitin ligase complex,GO:0000151,1
