hpo_id,hpo_term,hpo_parent,hpo_term_pmc,hpo_annotations,hpo_id_pmc,normalized_term,normalized_id,hpo_match
HP:0100729,Large face,HP:0001999,875869,18,2,no appropriate match,HP:0000000,0
HP:0033331,Acute phase response,HP:0001939,875506,2,0,Acute phase response,HP:0006953,0
HP:0000276,Long face,HP:0100729,858735,288,13,Long face,HP:0000276,1
HP:0000112,Nephropathy,HP:0012211,854216,70,5,Abnormality of the kidney,HP:0000077,0
HP:0000274,Small face,HP:0001999,848550,18,3,Micrognathia,HP:0000347,0
HP:0001513,Obesity,HP:0004324,839974,325,17,Obesity,HP:0001513,1
HP:0001410,Decreased liver function,HP:0025155,830814,70,5,Abnormality of liver function,HP:0001410,1
HP:0001297,Stroke,HP:0100659,821383,122,3,Stroke,HP:0001297,1
HP:0006528,Chronic lung disease,HP:0002795,817963,29,0,Chronic lung disease,HP:0006510,0
HP:0012532,Chronic pain,HP:0012531,802461,13,2,Chronic pain,HP:0012531,0
HP:0000152,Abnormality of head or neck,HP:0000118,801570,4,0,Abnormality of the head or neck,HP:0000152,1
HP:0031418,Increased body mass index,HP:0045081,788835,4,3,Obesity,HP:0001513,0
HP:0033047,Body ache,HP:0025142,781517,1,0,Generalized muscle weakness,HP:0003701,0
HP:0033530,Increased cardiac index,HP:0033529,777086,0,0,no appropriate match,HP:0000000,0
HP:0020170,Increased blood drug concentration,HP:0020169,769540,0,0,Abnormal drug concentration,HP:0011012,0
HP:0001394,Cirrhosis,HP:0410042,769208,141,1,Cirrhosis,HP:0001394,1
HP:5200231,Hypervigilance,HP:0100852,759503,0,0,no appropriate match,HP:0000000,0
HP:6000029,Social anxiety,HP:0000739,758243,0,0,Social anxiety,HP:0100852,0
HP:0000739,Anxiety,HP:5200230,758241,339,16,Anxiety,HP:0000739,1
HP:0003812,Phenotypic variability,HP:0012823,757039,0,1,no appropriate match,HP:0000000,0
HP:0032535,Cervical (neck),HP:0012838,740815,0,1,Neck,HP:0000475,0
HP:0000819,Diabetes mellitus,HP:0001952|HP:0000818,716379,193,19,Diabetes mellitus,HP:0000819,1
HP:0020172,Adverse drug response,HP:0020169,707949,2,1,Adverse drug reaction,HP:0004303,0
HP:0000505,Visual impairment,HP:0000504,700336,489,16,Visual impairment,HP:0000505,1
HP:0500105,Decreased systolic blood pressure,HP:0002615,699986,0,1,Hypotension,HP:0002615,0
HP:0500104,Decreased diastolic blood pressure,HP:0002615,699985,0,0,Decreased diastolic blood pressure,HP:0030972,0
HP:0031691,Severe viral infection,HP:0032169,693252,21,0,no appropriate match,HP:0000000,0
HP:0001945,Fever,HP:0004370,686134,384,11,Fever,HP:0001945,1
HP:0008763,No social interaction,HP:5200024,681974,8,5,Impaired social interactions,HP:0000735,0
HP:0003002,Breast carcinoma,HP:0100013,678322,46,12,Breast carcinoma,HP:0003002,1
HP:0002090,Pneumonia,HP:0012649|HP:0011947,673022,125,5,Pneumonia,HP:0002090,1
HP:0031274,Hypovolemic shock,HP:0031273,667928,5,0,Hypovolemia,HP:0002615,0
HP:0031273,Shock,HP:0011025,667910,18,1,no appropriate match,HP:0000000,0
HP:0012622,Chronic kidney disease,HP:0000083,667080,76,4,Chronic kidney disease,HP:0000075,0
HP:0001399,Hepatic failure,HP:0001410,665419,120,5,Hepatic failure,HP:0001399,1
HP:0040014,Increased mitochondrial number,HP:0012102,658258,4,0,Abnormal mitochondrial number,HP:0012130,0
HP:5200024,Abnormal relationship,HP:0000708,633529,0,0,no appropriate match,HP:0000000,0
HP:0100543,Cognitive impairment,HP:0011446,632320,341,27,Cognitive impairment,HP:0100543,1
HP:0006279,Beta-cell dysfunction,HP:0006476,622536,1,1,Abnormality of pancreatic beta-cell physiology,HP:0012093,0
HP:0025766,Abnormal affect,HP:0011446,619648,0,0,Abnormal emotion/affect behavior,HP:0100851,0
HP:0000572,Visual loss,HP:0000505,618416,152,7,Visual loss,HP:0000572,1
HP:0000708,Atypical behavior,HP:0011446,614445,348,36,Abnormal behavior,HP:0100851,0
HP:0006846,Acute encephalopathy,HP:0001298,614119,16,2,Acute encephalopathy,HP:0006846,1
HP:0000757,Lack of insight,HP:5200401,611499,4,0,Impaired insight,HP:0012433,0
HP:0011219,Short face,HP:0000274,611211,4,0,Short face,HP:0000274,0
HP:0032245,Abnormal metabolism,HP:0001939,610392,2,3,Abnormality of metabolism/homeostasis,HP:0001939,0
HP:0045090,Minor finding,HP:0045088,591108,0,0,no appropriate match,HP:0000000,0
HP:0002878,Respiratory failure,HP:0002093,581215,187,14,Respiratory failure,HP:0002878,1
HP:0003575,Increased intracellular sodium,HP:0011017,580339,2,0,no appropriate match,HP:0000000,0
HP:0012339,Increased resting energy expenditure,HP:0012338,580081,1,0,Increased resting energy expenditure,HP:0004325,0
HP:0003040,Arthropathy,HP:0001367,579318,23,0,Arthropathy,HP:0003040,1
HP:0001909,Leukemia,HP:0004377|HP:0001881,578906,39,5,Leukemia,HP:0001909,1
HP:0020171,Decreased blood drug concentration,HP:0020169,569805,0,0,Abnormal drug metabolism,HP:0011012,0
HP:0031469,Low self-esteem,HP:5200242,568944,4,0,no appropriate match,HP:0000000,0
HP:0034420,History of cardiovascular procedure,HP:0430103,553395,0,0,History of cardiovascular procedure,HP:0011065,0
HP:0000062,Ambiguous genitalia,HP:0000811,552558,110,7,Ambiguous genitalia,HP:0000062,1
HP:0002196,Myelopathy,HP:0034238|HP:0002143,546642,14,1,Myelopathy,HP:0005838,0
HP:0040313,Oligoarthritis,HP:0001369,542502,10,0,Oligoarthritis,HP:0003176,0
HP:0005764,Polyarticular arthritis,HP:0005195,542380,20,6,Polyarticular arthritis,HP:0007524,0
HP:0001369,Arthritis,HP:0001367,542380,170,5,Arthritis,HP:0001369,1
HP:0200122,Atypical or prolonged hepatitis,HP:0012115,542170,2,0,Prolonged hepatitis,HP:0012115,0
HP:0001898,Increased red blood cell mass,HP:0001901,541874,4,0,Polycythemia,HP:0001901,0
HP:0012393,Allergy,HP:0100326,540023,26,2,Allergic reaction,HP:0002455,0
HP:0032408,Breast mass,HP:0031093,539527,1,0,Breast mass,HP:0100769,0
HP:0032317,Family history of cancer,HP:0032316,538046,0,0,Neoplasm,HP:0002664,0
HP:0002354,Memory impairment,HP:0100543,537831,134,6,Impaired memory,HP:0100543,0
HP:0011947,Respiratory tract infection,HP:0002088,528398,38,1,Respiratory tract infection,HP:0002205,0
HP:0001427,Mitochondrial inheritance,HP:0034345,527999,26,2,Mitochondrial inheritance,HP:0001427,1
HP:0033795,Growth without growth hormone,HP:0001507,526608,0,0,Growth without growth hormone,HP:0000824,0
HP:0012418,Hypoxemia,HP:0500165,524677,58,4,Hypoxemia,HP:0012418,1
HP:0012378,Fatigue,HP:0025142,521842,367,13,Fatigue,HP:0012378,1
HP:0003003,Colon cancer,HP:0100273,519945,43,4,Colon cancer,HP:0003003,1
HP:0032940,Dissociation,HP:5200216,519684,0,5,no appropriate match,HP:0000000,0
HP:5200104,Abnormal play,HP:0000708,519347,0,0,Impaired social play behavior,HP:0012433,0
HP:0003199,Decreased muscle mass,HP:0011805,518560,55,3,Muscle atrophy,HP:0003202,0
HP:0012125,Prostate cancer,HP:0100787,517620,17,1,Prostate cancer,HP:0009345,0
HP:0034241,Prenatal death,HP:0011420,514452,1,0,Fetal death,HP:0003826,0
HP:0001700,Myocardial necrosis,HP:0001637,512129,3,0,Myocardial necrosis,HP:0001654,0
HP:0000969,Edema,HP:0011032,510748,177,3,Edema,HP:0000969,1
HP:0012829,Profound,HP:0012824,505802,0,0,no appropriate match,HP:0000000,0
HP:0001648,Cor pulmonale,HP:0001707,505257,11,1,Cor pulmonale,HP:0001643,0
HP:0006872,Cerebral hypoplasia,HP:0007364,499116,18,1,Cerebral hypoplasia,HP:0007360,0
HP:0040013,Decreased mitochondrial number,HP:0012102,497078,2,3,Decreased mitochondrial number,HP:0008972,0
HP:0045082,Decreased body mass index,HP:0045081|HP:0004325,496308,7,0,Underweight,HP:0004325,0
HP:0004421,Elevated systolic blood pressure,HP:0032263,495985,3,4,Hypertension,HP:0000822,0
HP:0005117,Elevated diastolic blood pressure,HP:0032263,495985,3,3,Diastolic hypertension,HP:0030957,0
HP:0046505,Hand pain,HP:0012513,495894,2,1,Hand pain,HP:0009625,0
HP:5200044,Reduced attention regulation,HP:0100543,494017,0,0,Impaired attention,HP:0000736,0
HP:0005317,Increased pulmonary vascular resistance,HP:0030875,490149,10,1,Increased pulmonary vascular resistance,HP:0012113,0
HP:0031500,Abdominal mass,HP:0001438,489927,11,0,Abdominal mass,HP:0003272,0
HP:0033531,Decreased cardiac index,HP:0033529,486589,0,0,Decreased cardiac output,HP:0004315,0
HP:0025779,Disorder of thought content,HP:0025792,483589,0,0,Abnormality of thought content,HP:0025287,0
HP:0012272,J wave,HP:0003115,482953,1,1,no appropriate match,HP:0000000,0
HP:0000855,Insulin resistance,HP:0011014,478210,63,1,Insulin resistance,HP:0000855,1
HP:0003287,Abnormality of mitochondrial metabolism,HP:0012103,475613,6,7,Abnormality of mitochondrial metabolism,HP:0010915,0
HP:0012115,Hepatitis,HP:0012649|HP:0410042,472980,68,0,Hepatitis,HP:0001395,0
HP:0030357,Small cell lung carcinoma,HP:0100526,472113,5,1,no appropriate match,HP:0000000,0
HP:0001658,Myocardial infarction,HP:0033678,470816,70,4,Myocardial infarction,HP:0001658,1
HP:0100626,Chronic hepatic failure,HP:0001399,469978,6,0,Chronic hepatic failure,HP:0003344,0
HP:0007589,Aplasia cutis congenita on trunk or limbs,HP:0001057,469571,7,1,Aplasia cutis congenita,HP:0001056,0
HP:0025464,Increased reactive oxygen species production,HP:0025463,460803,2,0,Increased reactive oxygen species production,HP:0012131,0
HP:0000472,Long neck,HP:0025668,454335,13,2,Long neck,HP:0000475,0
HP:0001268,Mental deterioration,HP:0100543,452234,161,8,Cognitive decline,HP:0001268,1
HP:0003026,Short long bone,HP:0011314,450498,106,1,Short long bone,HP:0003026,1
HP:0011792,Neoplasm by histology,HP:0002664,445801,0,2,Neoplasm by histology,HP:0033671,0
HP:0001677,Coronary artery atherosclerosis,HP:0100545|HP:0006704|HP:0002621,444804,34,3,Atherosclerosis,HP:0002621,0
HP:0003418,Back pain,HP:0012531|HP:0000925,443123,67,3,Back pain,HP:0003418,1
HP:0012340,Decreased resting energy expenditure,HP:0012338,440816,2,0,Decreased resting energy expenditure,HP:0004323,0
HP:0031375,Refractory,HP:0012823,440037,0,0,no appropriate match,HP:0000000,0
HP:0033243,Pulmonary necrosis,HP:0006530,432882,0,1,Pulmonary necrosis,HP:0033560,0
HP:0100013,Neoplasm of the breast,HP:0031093|HP:0011793,429414,16,4,Breast neoplasm,HP:0100013,1
HP:0032318,Family history of heart disease,HP:0032316,428459,0,1,Family history of cardiovascular disease,HP:0000005,0
HP:0030358,Non-small cell lung carcinoma,HP:0100526,424765,2,2,no appropriate match,HP:0000000,0
HP:0100526,Neoplasm of the lung,HP:0100606|HP:0002088,423020,29,3,Neoplasm of the lung,HP:0100526,1
HP:0100022,Abnormality of movement,HP:0012638,422973,98,11,Abnormality of movement,HP:0100022,1
HP:0002527,Falls,HP:0001288,421851,48,1,Frequent falls,HP:0002359,0
HP:0002721,Immunodeficiency,HP:0010978,419350,190,6,Immunodeficiency,HP:0002721,1
HP:0001903,Anemia,HP:0001877,416612,470,14,Anemia,HP:0001903,1
HP:0001510,Growth delay,HP:0001507,415394,621,14,Growth delay,HP:0001510,1
HP:0002014,Diarrhea,HP:0011458,415048,350,0,Diarrhea,HP:0002014,1
HP:0002665,Lymphoma,HP:0004377,414827,72,4,Lymphoma,HP:0002665,1
HP:0410308,Decreased specific antibody response to infection,HP:0012475,413310,0,0,Impaired specific antibody production,HP:0005319,0
HP:0006554,Acute hepatic failure,HP:0001399,412766,28,1,Acute hepatic failure,HP:0006554,1
HP:0002463,Language impairment,HP:0034434,412604,54,11,Language impairment,HP:0002463,1
HP:0012050,Anasarca,HP:0007430,412234,18,1,Anasarca,HP:0001561,0
HP:0033141,Severe SARS-CoV-2 infection,HP:0031691,410704,1,2,no appropriate match,HP:0000000,0
HP:0000061,"Ambiguous genitalia, female",HP:0000062|HP:0000055,410373,14,1,Ambiguous genitalia,HP:0000062,0
HP:0031551,Reduced cell surface marker level,HP:0031550,409719,0,0,Decreased cell surface marker expression,HP:0032443,0
HP:0002027,Abdominal pain,HP:0012531|HP:0011458,408663,311,7,Abdominal pain,HP:0002027,1
HP:0000033,"Ambiguous genitalia, male",HP:0000062|HP:0000032,406430,18,4,Ambiguous genitalia,HP:0000062,0
HP:0005978,Type II diabetes mellitus,HP:0000819,404049,86,10,Type II diabetes mellitus,HP:0005978,1
HP:0034332,Cognitive regression,HP:0002376,403488,4,3,Cognitive regression,HP:0006889,0
HP:0020169,Abnormal drug response,HP:0001939,402837,2,1,Abnormal drug response,HP:0030058,0
HP:0002421,Poor head control,HP:0001324,399305,159,3,Poor head control,HP:0002421,1
HP:0033401,Tissue ischemia,HP:0025323,398685,0,2,Tissue ischemia,HP:0001676,0
HP:0001397,Hepatic steatosis,HP:0006561,396833,149,5,Hepatic steatosis,HP:0001397,1
HP:5200056,Limited head nodding or shaking,HP:4000081,393723,0,0,no appropriate match,HP:0000000,0
HP:0030359,Squamous cell lung carcinoma,HP:0030358,393580,0,0,no appropriate match,HP:0000000,0
HP:0004050,Absent hand,HP:6000918|HP:0005927,393557,10,1,Aplasia of the hand,HP:0009602,0
HP:0012056,Cutaneous melanoma,HP:0002861|HP:0008069,393534,22,1,Melanoma,HP:0002861,0
HP:0002861,Melanoma,HP:0011792,393532,40,5,Melanoma,HP:0002861,1
HP:0032552,Abnormal pulse,HP:0025323,392870,0,0,Abnormal heart rate,HP:0030957,0
HP:0002653,Bone pain,HP:0012531|HP:0011843,392723,96,1,Bone pain,HP:0002653,1
HP:0500015,Abnormal cardiac test,HP:0001626,392375,0,0,Abnormal cardiac test,HP:0030956,0
HP:0500107,Isolated diastolic hypotension,HP:0500104,391160,0,0,no appropriate match,HP:0000000,0
HP:0005219,Absence of intrinsic factor,HP:0002577,389281,2,1,Vitamin B12 deficiency due to lack of intrinsic factor,HP:0004345,0
HP:0100806,Sepsis,HP:0010978,386765,118,4,Sepsis,HP:0100806,1
HP:0005419,Decreased T cell activation,HP:0410035,386208,9,0,Impaired T cell activation,HP:0011840,0
HP:6000409,Pancreatic mass,HP:0012090,383913,0,0,Pancreatic neoplasm,HP:0100633,0
HP:0002621,Atherosclerosis,HP:0002634,382978,27,0,Atherosclerosis,HP:0002622,0
HP:0002089,Pulmonary hypoplasia,HP:0006703,381994,175,5,Pulmonary hypoplasia,HP:0002089,1
HP:0002099,Asthma,HP:0100326|HP:0002795,378347,127,10,Asthma,HP:0002099,1
HP:0025304,Periodic,HP:0031796,378111,0,0,no appropriate match,HP:0000000,0
HP:0004448,Fulminant hepatic failure,HP:0006554,377801,3,1,Acute hepatic failure,HP:0006554,0
HP:4000055,Intestinal inflammation,HP:0004386,373285,1,0,Intestinal inflammation,HP:0004389,0
HP:0009830,Peripheral neuropathy,HP:0012638,370535,285,6,Peripheral neuropathy,HP:0009830,1
HP:0030033,Small finger,HP:0006265,369389,2,0,Short 5th finger,HP:0009237,0
HP:0000726,Dementia,HP:0001268,365895,238,11,Dementia,HP:0000726,1
HP:0031377,Abnormal cell proliferation,HP:0011017,363605,0,0,Abnormality of cell proliferation,HP:0003136,0
HP:0030360,Large cell lung carcinoma,HP:0030358,362881,0,0,no appropriate match,HP:0000000,0
HP:0100704,Cerebral visual impairment,HP:0000505,359668,175,3,Cerebral visual impairment,HP:0100704,1
HP:0002013,Vomiting,HP:0002017,359370,395,0,Vomiting,HP:0002013,1
HP:0005354,Lack of T cell function,HP:0011840,358556,4,2,Abnormal T cell physiology,HP:0011840,0
HP:0002637,Cerebral ischemia,HP:0033401,356873,28,1,Cerebral ischemia,HP:0002637,1
HP:0012647,Abnormal inflammatory response,HP:0010978,355441,4,0,Abnormality of the immune system,HP:0002715,0
HP:0001402,Hepatocellular carcinoma,HP:0002896,355309,51,2,Hepatocellular carcinoma,HP:0001402,1
HP:0025226,Triggered by stress,HP:0025204,355309,0,0,no appropriate match,HP:0000000,0
HP:0025354,Abnormal cellular phenotype,HP:0000118,353377,4,3,Abnormal cellular phenotype,HP:0025354,1
HP:0002180,Neurodegeneration,HP:0007367,349973,42,5,Neurodegeneration,HP:0002180,1
HP:0004349,Reduced bone mineral density,HP:0004348,346860,99,6,Osteopenia,HP:0000938,0
HP:0011709,Atrioventricular dissociation,HP:0005150,346471,2,0,Atrioventricular dissociation,HP:0011671,0
HP:0012722,Heart block,HP:0031546,345314,16,0,Atrioventricular block,HP:0011993,0
HP:0002488,Acute leukemia,HP:0001909,343050,15,2,Acute leukemia,HP:0006721,0
HP:0001626,Abnormality of the cardiovascular system,HP:0000118,339397,64,29,Abnormality of the cardiovascular system,HP:0001626,1
HP:0002860,Squamous cell carcinoma,HP:0008069,338607,50,1,Squamous cell carcinoma,HP:0002860,1
HP:0025502,Overweight,HP:0004324,336313,37,2,Overweight,HP:0001513,0
HP:0004386,Gastrointestinal inflammation,HP:0012719|HP:0012649,332674,15,6,Gastrointestinal inflammation,HP:0004386,1
HP:0030850,Abnormal pulse pressure,HP:0030163,332372,2,0,Abnormal pulse pressure,HP:0030972,0
HP:0033753,Reduced residual volume,HP:0033752,332215,0,0,Decreased residual lung volume,HP:0030877,0
HP:0025337,Red eye,HP:0008047,323705,12,0,Conjunctival hyperemia,HP:0000509,0
HP:0002018,Nausea,HP:0002017,321915,132,0,Nausea,HP:0002018,1
HP:0001919,Acute kidney injury,HP:0000083,320109,72,8,Acute kidney injury,HP:0001919,1
HP:0012623,Stage 1 chronic kidney disease,HP:0012622,318149,3,0,Chronic kidney disease,HP:0003774,0
HP:0009126,Increased adipose tissue,HP:0009124|HP:0009025,317635,8,0,Increased subcutaneous fat,HP:0007480,0
HP:0012624,Stage 2 chronic kidney disease,HP:0012622,317363,3,0,Chronic kidney disease stage 2,HP:0000083,0
HP:0100749,Chest pain,HP:0012531,317356,128,6,Chest pain,HP:0100749,1
HP:0003419,Low back pain,HP:0003418,316821,23,2,Low back pain,HP:0003418,0
HP:0012625,Stage 3 chronic kidney disease,HP:0012622,314757,5,1,Chronic kidney disease stage 3,HP:0003774,0
HP:0002896,Neoplasm of the liver,HP:0007378|HP:0001392,314681,16,0,Liver neoplasm,HP:0002896,1
HP:0200102,Sparse or absent eyelashes,HP:0000499,311859,17,1,Sparse or absent eyelashes,HP:0000569,0
HP:0012626,Stage 4 chronic kidney disease,HP:0012622,310520,2,1,Chronic kidney disease stage 4,HP:0003774,0
HP:0003774,Stage 5 chronic kidney disease,HP:0012622,309888,176,11,Chronic kidney disease stage 5,HP:0003774,1
HP:0031407,Impaired cytokine signaling,HP:0031406,308538,0,0,no appropriate match,HP:0000000,0
HP:0001370,Rheumatoid arthritis,HP:0001369,308499,23,1,Rheumatoid arthritis,HP:0001370,1
HP:4000056,Abnormal apoptosis,HP:0011017,308336,0,0,Abnormality of apoptosis,HP:0006917,0
HP:0011017,Abnormal cellular physiology,HP:0001939|HP:0025354,307956,0,0,Abnormal cellular physiology,HP:0012638,0
HP:0030078,Lung adenocarcinoma,HP:0030358,306497,8,0,no appropriate match,HP:0000000,0
HP:0006510,Chronic pulmonary obstruction,HP:0006536,306150,28,2,Chronic obstructive pulmonary disease,HP:0006510,1
HP:0025318,Ovarian carcinoma,HP:0100615,305198,7,1,Ovarian neoplasm,HP:0100615,0
HP:0001395,Hepatic fibrosis,HP:0410042,304836,105,0,Hepatic fibrosis,HP:0001395,1
HP:0002448,Progressive encephalopathy,HP:0001298,304329,12,2,Progressive encephalopathy,HP:0002139,0
HP:0000470,Short neck,HP:0025668|HP:0003319,303727,542,19,Short neck,HP:0000470,1
HP:0002140,Ischemic stroke,HP:0025722|HP:0002637|HP:0001297,303324,26,1,Ischemic stroke,HP:0002320,0
HP:0030887,Increased lymphocyte apoptosis,HP:0030886,303236,0,1,Increased lymphocyte apoptosis,HP:0002724,0
HP:0032553,Weak pulse,HP:0032552,301067,2,2,Weak pulse,HP:0031951,0
HP:0000283,Broad face,HP:0100729,298916,21,2,Broad face,HP:0000283,1
HP:5200020,Abnormal interest in others,HP:0025732,297676,0,0,no appropriate match,HP:0000000,0
HP:0012833,Unilateral,HP:0012831,297599,0,2,no appropriate match,HP:0000000,0
HP:0005374,Cellular immunodeficiency,HP:0002721,297188,17,2,Cellular immunodeficiency,HP:0005375,0
HP:0002315,Headache,HP:0012638,295306,302,8,Headache,HP:0002315,1
HP:0001289,Confusion,HP:0100543,295086,95,1,Confusion,HP:0001289,1
HP:0025461,Abnormal cell morphology,HP:0025354,295049,5,1,Abnormal cellular morphology,HP:0005772,0
HP:0033184,Triggered by infection,HP:0025204,294254,0,0,no appropriate match,HP:0000000,0
HP:6001025,Pathological inclusion body,HP:0025461,293962,0,0,Inclusion body,HP:0011013,0
HP:0005584,Renal cell carcinoma,HP:0009726,290275,20,4,Renal cell carcinoma,HP:0005584,1
HP:0006766,Papillary renal cell carcinoma,HP:0005584,290275,5,1,Papillary renal cell carcinoma,HP:0006745,0
HP:0006770,Clear cell renal cell carcinoma,HP:0005584,290275,2,0,no appropriate match,HP:0000000,0
HP:0012735,Cough,HP:0002795,289304,153,4,Cough,HP:0012735,1
HP:0011463,Childhood onset,HP:0410280,288937,1050,3,Childhood onset,HP:0011463,1
HP:0000718,Aggressive behavior,HP:0000734,286928,344,18,Aggressive behavior,HP:0000718,1
HP:0000750,Delayed speech and language development,HP:0012758|HP:0002463|HP:0002167,286126,1009,71,Delayed speech and language development,HP:0000750,1
HP:0200120,Chronic active hepatitis,HP:0200123,284491,4,0,Chronic active hepatitis,HP:0002253,0
HP:0200123,Chronic hepatitis,HP:0012115,284464,9,3,Chronic hepatitis,HP:0100270,0
HP:0002529,Neuronal loss in central nervous system,HP:0007367,284386,41,2,Central nervous system neuron loss,HP:0002529,1
HP:0033169,Reduced total lung capacity,HP:0030878,284047,0,0,Decreased total lung capacity,HP:0005955,0
HP:0031437,Pregnancy exposure,HP:0002686,283738,2,0,no appropriate match,HP:0000000,0
HP:0003745,Sporadic,HP:0000005,283600,159,0,no appropriate match,HP:0000000,0
HP:0031492,Epithelial neoplasm,HP:0011792,283505,0,0,no appropriate match,HP:0000000,0
HP:0005558,Chronic leukemia,HP:0001909,283432,1,0,no appropriate match,HP:0000000,0
HP:0001250,Seizure,HP:0012638,282710,2438,139,Seizure,HP:0001250,1
HP:4000145,History of recent viral illness,HP:4000144,282611,0,0,no appropriate match,HP:0000000,0
HP:0000951,Abnormality of the skin,HP:0001574,281017,87,10,Abnormality of the skin,HP:0000951,1
HP:0000938,Osteopenia,HP:0004349,279718,314,5,Osteopenia,HP:0000938,1
HP:4000059,Abnormal lung development,HP:0002088,278281,0,0,Abnormal lung morphology,HP:0002088,0
HP:0012432,Chronic fatigue,HP:0012378,276720,28,2,Fatigue,HP:0012378,0
HP:0000977,Soft skin,HP:0010647,276114,38,5,Soft skin,HP:0000977,1
HP:0005424,Absent specific antibody response,HP:0012475,275203,2,0,Absent specific antibody response,HP:0011144,0
HP:0002719,Recurrent infections,HP:0032101,274505,278,11,Recurrent infections,HP:0002719,1
HP:0034930,Digestive system neoplasm,HP:0011793|HP:0025031,271629,0,0,Gastrointestinal neoplasm,HP:0100754,0
HP:0031862,Increased heart rate variability,HP:0031860,271184,1,1,no appropriate match,HP:0000000,0
HP:0033568,Left axis deviation,HP:0033566,271179,3,0,Left axis deviation,HP:0011729,0
HP:0410323,Drug allergy,HP:0012393,271005,4,0,Drug allergy,HP:0004383,0
HP:0025280,Pain characteristic,HP:0012823,270735,0,0,Pain,HP:0012531,0
HP:0003811,Neonatal death,HP:0011420,270249,109,0,Neonatal death,HP:0003826,0
HP:0025521,Increased body fat percentage,HP:0001507,270091,0,0,Increased body fat percentage,HP:0003680,0
HP:0009025,Increased connective tissue,HP:0003549,270076,16,2,Abnormality of connective tissue,HP:0003549,0
HP:0002472,Small cerebral cortex,HP:0002538,269438,9,1,Decreased cerebral cortex size,HP:0002539,0
HP:4000042,Fracture type,HP:0012823,268661,0,0,no appropriate match,HP:0000000,0
HP:0009763,Limb pain,HP:0012531|HP:0011843,266962,18,3,Limb pain,HP:0009737,0
